node,species_idx,species_name,preplanted,pre_species_name,x,y,row,col
0,6,Opuntia robusta,0,,0.0,0.0,0,0
1,1,Agave salmiana,1,Agave salmiana,1.0,0.0,0,1
2,8,Prosopis laevigata,1,Prosopis laevigata,2.0,0.0,0,2
3,2,Agave scabra,0,,3.0,0.0,0,3
4,3,Agave striata,0,,0.5,0.8660254037844386,1,0
5,4,Opuntia cantabrigiensis,0,,1.5,0.8660254037844386,1,1
6,9,Yucca filifera,0,,2.5,0.8660254037844386,1,2
7,1,Agave salmiana,0,,3.5,0.8660254037844386,1,3
8,6,Opuntia robusta,0,,0.0,1.7320508075688772,2,0
9,9,Yucca filifera,0,,1.0,1.7320508075688772,2,1
10,0,Agave lechuguilla,0,,2.0,1.7320508075688772,2,2
11,5,Opuntia engelmannii,0,,3.0,1.7320508075688772,2,3
12,1,Agave salmiana,0,,0.5,2.598076211353316,3,0
13,7,Opuntia streptacantha,0,,1.5,2.598076211353316,3,1
14,1,Agave salmiana,0,,2.5,2.598076211353316,3,2
15,8,Prosopis laevigata,1,Prosopis laevigata,3.5,2.598076211353316,3,3
